Betreiber,Adresse,Postleitzahl Ort,Längengrad [DG],Breitengrad [DG],Inbetriebnahmedatum,Anschlussleistung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen 1,P1 [kW],Steckertypen 2,P2 [kW],Steckertypen 3,P3 [kW],Steckertypen 4,P4 [kW],
innogy SE,Savignyplatz (Süd) 2,10623 Berlin,"13,322816","52,50553",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Straße des 17. Juni 115,10623 Berlin,"13,329802","52,513015",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Fasanenstr. 12,10623 Berlin,"13,327709","52,505217",11/20/14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Fasanenstrstr. 88,10623 Berlin,"13,330307","52,510533",12/22/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Schillerstr. 29,10625 Berlin,"13,309893","52,510341",7/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Schlüterstr. 62,10625 Berlin,"13,317669","52,505876",11/7/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Kantstraße 111 a,10627 Berlin,"13,306286","52,506822",6/12/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Windscheid Str. 20,10627 Berlin,"13,299993","52,505012",6/12/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Suarezstr. 1,10627 Berlin,"13,296954","52,510481",12/23/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Pestalozzistr. 44,10627 Berlin,"13,414964","52,5337",12/22/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Leibnitzstr. 59,10629 Berlin,"13,313239","52,502757",8/18/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Dahlmannstr. 1a,10629 Berlin,"13,30371","52,503442",2/25/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Waitzstr.7,10629 Berlin,"13,305567","52,501687",11/20/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Schlüterstraße 46,10707 Berlin,"13,3168","52,500883",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Pommersche Straße 9,10707 Berlin,"13,315086","52,493249",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Fehrbelliner Platz 8,10707 Berlin,"13,31408","52,49067",8/17/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Wittelsbacher Str. 19,10707 Berlin,"13,308887","52,495371",11/13/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Düsseldorfer Str. 51,10707 Berlin,"13,313894","52,496709",8/3/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Lehniner Platz /Kurfürstendamm vor 90,10709 Berlin,"13,301795","52,499225",2/15/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Westfälische Str. 81,10709 Berlin,"13,305454","52,493295",3/15/18,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Bornstedter Str. ggü. 20,10711 Berlin,"13,287951","52,496901",8/23/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Aachener Str. 5,10713 Berlin,"13,318856","52,481323",11/7/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Rudolstädter Str. 123,10713 Berlin,"13,302828","52,487809",12/22/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Durlacher Str. 35,10715 Berlin,"13,329605","52,481311",11/13/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Detmolder Str. 11A,10715 Berlin,"13,323897","52,478824",3/27/18,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Mainzer Str. 22,10715 Berlin,"13,323902","52,479959",2/8/18,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Güntzelstr.56/Ecke Bundesallee 14,10717 Berlin,"13,330553","52,49095",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Trautenaustr. Ggü. 21,10717 Berlin,"13,330154","52,493241",7/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Schaperstraße 17,10719 Berlin,"13,329086","52,499416",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Ludwigkirchstr. ggü. 6,10719 Berlin,"13,324219","52,497883",12/22/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Uhlandstr. 61,10719 Berlin,"13,323631","52,494521",11/20/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Motzstraße 43,10777 Berlin,"13,344862","52,496774",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Fuggerstr. 34,10777 Berlin,"13,342238","52,499237",6/22/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Eisenacher Str. 1,10777 Berlin,"13,349617","52,500134",8/4/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Eisenachstr. 102,10781 Berlin,"13,349851","52,494823",8/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Pallasstr. 2,10781 Berlin,"13,360266","52,494506",3/14/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Eisenacher Str. 32,10781 Berlin,"13,349171","52,491716",2/22/18,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Frobenstr. Ggü. 22,10783 Berlin,"13,359538","52,498649",3/4/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Bellevuestr. 3,10785 Berlin,"13,373844","52,510428",7/17/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Lützowplatz 11,10785 Berlin,"13,353095","52,504097",7/15/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
