Betreiber,Adresse,Postleitzahl Ort,Längengrad [DG],Breitengrad [DG],Inbetriebnahmedatum,Anschlussleistung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen 1,P1 [kW],Steckertypen 2,P2 [kW],Steckertypen 3,P3 [kW],Steckertypen 4,P4 [kW],
Allego GmbH,Gartenfelder Str. 104,13599 Berlin,"13,238754","52,542808",12/5/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Reichweindamm 6,13627 Berlin,"13,300126","52,535549",3/30/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Nonnendammallee 101,13629 Berlin,"13,264151","52,536687",9/28/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Nefzger GmbH & Co. KG,Nonnendamm 62-64,13629 Berlin,"13,283509","52,531038",8/10/18,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Steubenplatz 2-4,14050 Berlin,"13,260862","52,516448",6/12/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Reichstr. 13,14050 Berlin,"13,266231","52,513246",8/17/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Eschenallee 1,14050 Berlin,"13,269472","52,519745",1/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Theodor-Heuss-Platz 5,14052 Berlin,"13,272761","52,508782",6/12/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Heerstraße 35,14055 Berlin,"13,260589","52,508433",9/23/14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Herbartstr. 15,14057 Berlin,"13,285287","52,507096",11/13/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Schloßstraße 1 a,14059 Berlin,"13,295717","52,518917",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Knobelsdorffstr. 53,14059 Berlin,"13,288812","52,513068",1/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Sophie-Charlottenstr. 105D,14059 Berlin,"13,286601","52,519445",11/13/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Nehringstr. 4,14059 Berlin,"13,293968","52,51649",12/12/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Königin-Elisabeth-Str.,14059 Berlin,"13,281518","52,513191",5/24/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Autobahn Tank & Rast GmbH ,Grunewald West,14129 Berlin,"13,191749","52,434341",1/8/16,100,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",50,AC Kupplung Typ 2,42,,,,,
Allego GmbH,Argentinische Allee ,14163 Berlin,"13,239799","52,442567",10/25/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Clayallee 326,14169 Berlin,"13,262563","52,438486",7/31/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Königin-Luise-Str. 40,14195 Berlin,"13,291687","52,457986",7/9/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Schlangenbader Str. ggü. 26,14197 Berlin,"13,308104","52,472172",11/13/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Bundesallee 62,14197 Berlin,"13,328323","52,477016",5/22/17,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
innogy SE,Fritz-Wildung-Straße 26,14199 Berlin,"13,296678","52,48375",6/12/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Hohenzollerndamm 110A,14199 Berlin,"13,282364","52,477634",7/5/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Hohenzollerndamm 137,14199 Berlin,"13,294078","52,484282",7/5/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
E.DIS AG,Eisenbahnstr. (S-Bhf.),15366 Neuenhagen bei Berlin,"13,699587","52,520903",11/10/17,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
